id,documentId,en,ru,fontSize,correctAnswer,answerTime,createdAt,updatedAt,publishedAt,locale
89,"d7zkz5awlroa4cb9xv0i351g","경기장","стадион",16,true,30,"2025-03-22T15:40:47.814Z","2025-03-22T15:40:53.430Z","",""
91,"ep8b8tbzpre2lemhdwvsxhp5","근처","около возле",16,true,30,"2025-03-22T15:41:38.616Z","2025-03-22T15:41:41.428Z","",""
93,"f0ojkvzw8fjqy5ltnka59euj","땅","земля",16,true,30,"2025-03-22T15:42:30.101Z","2025-03-22T15:42:32.814Z","",""
95,"gfaknll9gfdav7efht3zij1j","밑","низ",16,true,30,"2025-03-22T15:43:36.903Z","2025-03-22T15:43:39.987Z","",""
97,"w13nanlj7fh4ei3vt7fd812c","아니면","или",16,true,30,"2025-03-22T15:44:16.348Z","2025-03-22T15:44:19.497Z","",""
99,"ejn091yuzdz3ni7yzfo8c21y","호수","озеро",16,true,30,"2025-03-22T15:45:32.579Z","2025-03-22T15:45:35.536Z","",""
101,"s89so9tbxvdtijt51rybptr6","방","комната",16,true,30,"2025-03-22T15:46:24.536Z","2025-03-22T15:46:27.496Z","",""
103,"anf5ffnokigvjp3cv94j2r87","안","внутрь",16,true,30,"2025-03-22T15:47:11.573Z","2025-03-22T15:47:14.490Z","",""
105,"sb2964tz0y1gio702n1vn4va","에 대한","о about",16,true,30,"2025-03-22T15:48:31.533Z","2025-03-22T15:48:34.499Z","",""
107,"f5cnyu997q0a8s6evk3l2j82","책","книга",16,true,30,"2025-03-22T15:49:11.205Z","2025-03-22T15:49:15.877Z","",""
109,"vgkeockmwrrmwy7vgzfed01u","어떤/무슨","какой",16,true,30,"2025-03-22T15:50:21.411Z","2025-03-22T15:50:24.570Z","",""
111,"sdmy8nxnirgivg5d2xeun145","시신","труп",16,true,30,"2025-03-22T15:51:42.778Z","2025-03-22T15:51:46.247Z","",""
113,"fg5963bfrzp1744mjekaxd7u","옆","рядом",16,true,30,"2025-03-22T15:52:26.403Z","2025-03-22T15:52:29.781Z","",""
115,"lutydltw5gi4vcpkl6dzaqdt","책상","стол",16,true,30,"2025-03-22T15:53:21.645Z","2025-03-22T15:53:24.836Z","",""
117,"id4mwni6kvaflbjglr84io6h","의자","стул",16,true,30,"2025-03-22T15:55:11.938Z","2025-03-22T15:55:15.398Z","",""
119,"pa1h4jbq90fev081jo3k9v4o","가방","рюкзак",16,true,30,"2025-03-22T15:58:20.085Z","2025-03-22T15:58:23.256Z","",""
121,"kep7xq292q3ol569f5z0uiqy","몇 대","сколько (машины, трактора, лодки, самолёты",16,true,30,"2025-03-22T16:00:50.371Z","2025-03-22T16:00:52.957Z","",""
123,"cbz6tpeiqp7pid5m5rfpo7vs","몇 명","сколько(человек)",16,true,30,"2025-03-22T16:02:21.200Z","2025-03-22T16:02:24.488Z","",""
125,"dnz9978g5yxa8mf0hxg3mlo0","몇개","сколько(простые стуки)",16,true,30,"2025-03-22T16:03:22.615Z","2025-03-22T16:03:55.979Z","",""
127,"mxnfcn2if40tumyfynsh9zni","이번 년","этот год",16,true,30,"2025-03-22T16:05:12.574Z","2025-03-22T16:05:15.339Z","",""
129,"b528xulakqwofozsq9otopr4","이번 달","этот месяц",16,true,30,"2025-03-22T16:06:11.261Z","2025-03-22T16:06:13.851Z","",""
131,"so3wkrxxliw6aw6azoidq77r","이번주","эта неделя",16,true,30,"2025-03-22T16:07:24.407Z","2025-03-22T16:07:27.777Z","",""
133,"fvlqrzw3qaw8o44rqqkdcjp5","환자","пациент",16,true,30,"2025-03-22T16:08:12.311Z","2025-03-22T16:08:14.986Z","",""
135,"c24j14hiiai755fhlrkns914","병원","больница",16,true,30,"2025-03-22T16:09:04.682Z","2025-03-22T16:09:07.542Z","",""
137,"cec4rsbh844060nyjb000s80","의사","врач",16,true,30,"2025-03-22T16:10:18.786Z","2025-03-22T16:10:21.272Z","",""
139,"eiejyluax4zq2hwjxuxlar1o","멜론과 수박","дыня и арбуз",16,true,30,"2025-03-22T16:11:26.447Z","2025-03-22T16:11:29.531Z","",""
143,"pubyui4mnqlc7ehnyau2nru7","싫어하다","ненавидеть, не любить ",16,true,30,"2025-03-22T16:19:14.232Z","2025-03-22T16:19:17.759Z","",""
145,"my4z8lqbakvt56p491j48mvc","모두","все",16,true,30,"2025-03-22T16:20:20.851Z","2025-03-22T16:20:24.091Z","",""
147,"oon43dno9gfzh5g6y8b1s1xz","오늘","сегодня",16,true,30,"2025-03-22T16:22:08.188Z","2025-03-22T16:22:11.103Z","",""
149,"w0capkkdg70hf4gp5uw7jdvc","가보다","идти и видеть ",16,true,30,"2025-03-22T16:23:11.450Z","2025-03-22T16:23:14.566Z","",""
151,"gd7lr9mf9a72ufn9e8dtg03q","축제","фестиваль",16,true,30,"2025-03-22T16:24:02.254Z","2025-03-22T16:24:05.250Z","",""
153,"kuundth9tiafase6tfk43nyo","알다","знать",16,true,30,"2025-03-22T16:25:03.132Z","2025-03-22T16:25:06.507Z","",""
